"Slice","Name","Invested value","Value","Result","Owned quantity","Dividends gained","Dividends cash","Dividends reinvested"
"QBTS","D-Wave Quantum",12.95,21.41,8.46,"0.66926501","N/A","N/A","N/A"
"IONQ","IonQ",17.23,17.78,0.55,"0.33175933","N/A","N/A","N/A"
"META","Meta Platforms",21.2,21.16,-0.04,"0.03371856","N/A","N/A","N/A"
"QUBT","Quantum Computing",17.93,17.8,-0.13,"1.12691539","N/A","N/A","N/A"
"AMD","Advanced Micro Devices",16.88,22.69,5.81,"0.11004665","N/A","N/A","N/A"
"RGTI","Rigetti Computing",9.57,17.52,7.95,"0.44464304","N/A","N/A","N/A"
"NVD","Nvidia",19.72,20.33,0.61,"0.12809695","N/A","N/A","N/A"
"PTX","Palantir Technologies",20.21,21.5,1.29,"0.13758923","N/A","N/A","N/A"
"ORC","Oracle",20.04,18.95,-1.09,"0.07831339","N/A","N/A","N/A"
"AMZN","Amazon",17.73,16.83,-0.9,"0.09108425","N/A","N/A","N/A"
"GOOGL","Alphabet (Class A)",17.09,18.11,1.02,"0.08246429","N/A","N/A","N/A"
"AVGO","Broadcom",16.67,17.02,0.35,"0.05618292","N/A","N/A","N/A"
"ASML","ASML",15.93,18.31,2.38,"0.0205386","N/A","N/A","N/A"
"FTNT","Fortinet",17.06,17.14,0.08,"0.23803965","N/A","N/A","N/A"
"MSF","Microsoft",17.13,17.27,0.14,"0.0390099","N/A","N/A","N/A"
"FN","Fabrinet",16.99,18.62,1.63,"0.05229903","N/A","N/A","N/A"
"IBM","International Business Machines (IBM)",16.96,17.53,0.57,"0.07185412","N/A","N/A","N/A"
"FDS","FactSet Research Systems",13.87,14,0.13,"0.05608644","N/A","N/A","N/A"
"Total","AI Playground",305.16,333.97,28.81,"-","0.01","0","0.01"
